vi vj e
0 22 1
0 26 1
0 45 1
1 39 1
1 59 1
2 7 1
2 58 1
3 18 1
3 23 1
3 27 1
3 59 1
3 61 1
4 33 1
4 49 1
4 57 1
4 59 1
5 49 1
6 18 1
6 26 1
6 27 1
6 33 1
6 54 1
7 6 1
7 13 1
7 16 1
7 22 1
7 39 1
7 43 1
7 58 1
8 10 1
8 25 1
8 31 1
8 33 1
8 55 1
9 13 1
9 34 1
9 35 1
9 55 1
9 57 1
10 0 1
10 18 1
10 22 1
10 34 1
11 25 1
11 41 1
12 10 1
12 32 1
12 43 1
12 61 1
13 15 1
13 44 1
13 50 1
13 57 1
14 27 1
14 32 1
14 57 1
14 58 1
15 4 1
15 7 1
15 23 1
15 40 1
15 47 1
15 60 1
16 20 1
16 24 1
16 37 1
16 42 1
16 47 1
16 61 1
17 7 1
17 9 1
17 12 1
17 16 1
17 18 1
17 36 1
18 23 1
18 35 1
18 39 1
18 42 1
18 45 1
19 21 1
19 25 1
19 30 1
19 40 1
20 23 1
20 32 1
20 51 1
21 14 1
21 18 1
21 32 1
21 40 1
21 54 1
22 1 1
22 8 1
22 13 1
22 15 1
22 28 1
22 31 1
23 6 1
23 7 1
23 9 1
23 35 1
23 46 1
23 55 1
23 56 1
24 12 1
24 17 1
24 34 1
25 2 1
25 15 1
25 22 1
25 24 1
25 29 1
25 54 1
26 35 1
26 55 1
27 21 1
27 32 1
27 39 1
27 42 1
27 45 1
27 50 1
28 7 1
28 9 1
28 23 1
29 12 1
29 31 1
29 46 1
30 16 1
30 32 1
30 50 1
30 51 1
31 2 1
31 19 1
31 24 1
31 35 1
31 40 1
32 8 1
32 11 1
32 19 1
32 38 1
32 51 1
32 52 1
32 59 1
32 61 1
33 3 1
33 30 1
33 50 1
33 58 1
34 3 1
34 12 1
34 14 1
34 23 1
34 47 1
34 55 1
34 56 1
34 57 1
34 60 1
35 1 1
35 8 1
35 15 1
35 25 1
35 58 1
36 15 1
37 22 1
37 40 1
37 50 1
38 20 1
38 43 1
38 44 1
38 48 1
39 4 1
39 31 1
39 41 1
39 48 1
39 52 1
40 17 1
40 28 1
40 29 1
40 38 1
40 48 1
40 53 1
41 0 1
41 3 1
41 53 1
41 56 1
42 17 1
42 25 1
42 40 1
42 41 1
42 56 1
42 61 1
43 10 1
43 19 1
43 42 1
43 56 1
44 25 1
44 32 1
44 48 1
45 16 1
45 23 1
45 57 1
46 27 1
46 34 1
46 42 1
47 6 1
47 7 1
47 8 1
48 0 1
48 34 1
48 46 1
48 53 1
48 57 1
49 16 1
49 34 1
50 5 1
50 34 1
50 41 1
50 43 1
50 48 1
51 6 1
51 21 1
51 42 1
51 52 1
52 9 1
52 22 1
52 61 1
53 4 1
53 19 1
53 34 1
53 51 1
54 9 1
54 15 1
54 31 1
54 53 1
55 3 1
55 7 1
55 16 1
55 17 1
55 28 1
55 32 1
55 39 1
56 6 1
56 10 1
56 14 1
56 20 1
56 27 1
56 44 1
57 8 1
57 11 1
57 17 1
57 27 1
57 33 1
57 37 1
57 55 1
58 21 1
58 34 1
58 37 1
58 54 1
58 56 1
59 14 1
59 17 1
59 30 1
59 38 1
60 3 1
60 4 1
61 13 1
61 21 1
61 29 1
61 30 1
61 38 1
61 55 1
